【  央视_电信  】,#genre#
武汉五台文体_电信,http://119.98.183.124:8000/rtp/239.69.1.147:10518
武汉五台文体_电信,http://27.18.190.49:85/rtp/239.69.1.147:10518
武汉六台外语_电信,http://27.18.190.49:85/rtp/239.69.1.36:9856
武汉六台外语_电信,http://119.98.183.124:8000/rtp/239.69.1.36:9856
武汉六台外语_电信,http://59.174.169.143:10000/rtp/239.69.1.36:9856
武汉四台经济_电信,http://27.18.190.49:85/rtp/239.69.1.35:9850
武汉四台经济_电信,http://119.98.183.124:8000/rtp/239.69.1.35:9850
武汉四台经济_电信,http://59.174.169.143:10000/rtp/239.69.1.35:9850
武汉教育_电信,http://59.174.169.143:10000/rtp/239.69.1.60:9994
武汉教育_电信,http://27.18.190.49:85/rtp/239.69.1.60:9994
武汉教育_电信,http://119.98.183.124:8000/rtp/239.69.1.60:9994
湖北公共新闻_电信,http://27.18.190.49:85/rtp/239.69.1.40:9880
湖北公共新闻_电信,http://119.98.183.124:8000/rtp/239.69.1.40:9880
湖北公共新闻_电信,http://59.174.169.143:10000/rtp/239.69.1.40:9880
湖北垄上_电信,http://119.98.183.124:8000/rtp/239.69.1.43:9898
湖北垄上_电信,http://27.18.190.49:85/rtp/239.69.1.43:9898
湖北影视_电信,http://27.18.190.49:85/rtp/239.69.1.204:10866
湖北影视_电信,http://119.98.183.124:8000/rtp/239.69.1.204:10866
湖北影视_电信,http://59.174.169.143:10000/rtp/239.69.1.204:10866
湖北教育_电信,http://27.18.190.49:85/rtp/239.69.1.206:10878
湖北教育_电信,http://119.98.183.124:8000/rtp/239.69.1.206:10878
湖北教育_电信,http://59.174.169.143:10000/rtp/239.69.1.206:10878
湖北生活_电信,http://27.18.190.49:85/rtp/239.69.1.205:10872
湖北生活_电信,http://119.98.183.124:8000/rtp/239.69.1.205:10872
湖北经视_电信,http://119.98.183.124:8000/rtp/239.69.1.41:9886
湖北经视_电信,http://59.174.169.143:10000/rtp/239.69.1.41:9886
湖北经视_电信,http://27.18.190.49:85/rtp/239.69.1.41:9886
湖北综合_电信,http://59.174.169.143:10000/rtp/239.69.1.42:9892
湖北综合_电信,http://27.18.190.49:85/rtp/239.69.1.42:9892
湖北综合_电信,http://119.98.183.124:8000/rtp/239.69.1.42:9892
茶_电信,http://119.98.183.124:8000/rtp/239.69.1.144:10500
